NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
iDisableDmacHandler,FUNC,0x5f,10,,,,,,,,,,,,,,,,,,,,,,
KSeg0,FUNC,0x60,10,,,,,,,,,,,,,,,,,,,,,,
EnableCache,FUNC,0x61,10,,,,,,,,,,,,,,,,,,,,,,
DisableCache,FUNC,0x62,10,,,,,,,,,,,,,,,,,,,,,,
GetCop0,FUNC,0x63,10,,,,,,,,,,,,,,,,,,,,,,
FlushCache,FUNC,0x64,10,118a80,,,,,,,,,,,,,,,,,,,,,
CpuConfig,FUNC,0x66,10,,,,,,,,,,,,,,,,,,,,,,
iGetCop0,FUNC,0x67,10,,,,,,,,,,,,,,,,,,,,,,
iFlushCache,FUNC,0x68,10,,,,,,,,,,,,,,,,,,,,,,
iCpuConfig,FUNC,0x6a,10,,,,,,,,,,,,,,,,,,,,,,
sceSifStopDma,FUNC,0x6b,10,,,,,,,,,,,,,,,,,,,,,,
SetCPUTimerHandler,FUNC,0x6c,10,,,,,,,,,,,,,,,,,,,,,,
SetCPUTimer,FUNC,0x6d,10,,,,,,,,,,,,,,,,,,,,,,
SetOsdConfigParam2,FUNC,0x6e,10,,,,,,,,,,,,,,,,,,,,,,
GetOsdConfigParam2,FUNC,0x6f,10,,,,,,,,,,,,,,,,,,,,,,
GsGetIMR,FUNC,0x70,10,,,,,,,,,,,,,,,,,,,,,,
iGsGetIMR,FUNC,0x70,10,,,,,,,,,,,,,,,,,,,,,,
GsPutIMR,FUNC,0x71,10,,,,,,,,,,,,,,,,,,,,,,
iGsPutIMR,FUNC,0x71,10,,,,,,,,,,,,,,,,,,,,,,
SetPgifHandler,FUNC,0x72,10,,,,,,,,,,,,,,,,,,,,,,
SetVSyncFlag,FUNC,0x73,10,,,,,,,,,,,,,,,,,,,,,,
RFU116,FUNC,0x74,10,,,,,,,,,,,,,,,,,,,,,,
_print,FUNC,0x75,10,,,,,,,,,,,,,,,,,,,,,,
sceSifDmaStat,FUNC,0x76,10,,,,,,,,,,,,,,,,,,,,,,
isceSifDmaStat,FUNC,0x76,10,,,,,,,,,,,,,,,,,,,,,,
sceSifSetDma,FUNC,0x77,10,,,,,,,,,,,,,,,,,,,,,,
isceSifSetDma,FUNC,0x77,10,,,,,,,,,,,,,,,,,,,,,,
sceSifSetDChain,FUNC,0x78,10,,,,,,,,,,,,,,,,,,,,,,
isceSifSetDChain,FUNC,0x78,10,,,,,,,,,,,,,,,,,,,,,,
sceSifSetReg,FUNC,0x79,10,,,,,,,,,,,,,,,,,,,,,,
sceSifGetReg,FUNC,0x7a,10,,,,,,,,,,,,,,,,,,,,,,
_ExecOSD,FUNC,0x7b,10,,,,,,,,,,,,,,,,,,,,,,
Deci2Call,FUNC,0x7c,10,,,,,,,,,,,,,,,,,,,,,,
PSMode,FUNC,0x7d,10,,,,,,,,,,,,,,,,,,,,,,
MachineType,FUNC,0x7e,10,,,,,,,,,,,,,,,,,,,,,,
GetMemorySize,FUNC,0x7f,10,,,,,,,,,,,,,,,,,,,,,,
_InitTLB,FUNC,0x82,10,,,,,,,,,,,,,,,,,,,,,,
